Gene	JK_A2_1_ERCC_S26	JK_A2_2_ERCC_S27	JK_A2_3_ERCC_S28	JK_A2_4_ERCC_S29	JK_A2_5_ERCC_S30	JK_A2_6_ERCC_S31	JK_S1_2_ERCC_S22	JK_S1_3_ERCC_S23	JK_S2_2_ERCC_S24	JK_S2_3_ERCC_S25
RBM5	16.888297903428526	17.2856730726413	17.17119331399043	18.385065572356517	16.87791726989627	17.9486821694058	18.2077855635902	18.129009702710178	17.901717850436192	17.38724592559564
EIF4A1P10	21.08801083827437	14.367010562790714	15.568564213441418	18.474602640595595	20.780997229091145	13.599033858857958	8.507530013291028	8.409910884272449	11.500021671756816	10.389249899397122
CAPN5	4.497477532196273	4.500588607716441	4.462227237018382	5.379128959426258	5.41959861537415	5.557866885385944	5.462702557707268	6.40425182776053	6.1770332239390235	5.945508795984144
AC254562.2	1.620564599443404	1.1541584747733893	1.5537054767022747	1.8566523920232543	1.3512696116120024	1.2567495761065368	0.5208575290645181	0.7623652100812385	0.8683958417536263	1.3873630438905007
RNU6-377P	0.9018911871745936	2.156368915052803	1.4514307464431613	2.4661508718188783	1.1454389645273126	2.0545391354486764	0.3784444138192087	0.9693581606397882	2.0280813251038823	1.4463033039250643
PTPRA	34.7226896470021	33.0451648291994	34.66162739695508	33.76994476829823	34.94961611420633	34.312583577595305	39.357812653934545	40.43712419391737	36.36368871708947	34.573831946660746
CLIP2	4.887582998608893	5.191260528253182	4.939910860349032	6.01863750845763	5.8623683189966505	5.698752723944138	9.837401065320728	11.346669616732607	5.923021789232786	6.320401323314067
IK	65.54025807164618	63.73867640909059	63.554597711649095	62.798177072352345	65.8619072926128	63.18706390890082	53.26354626675442	55.809308358277946	57.635510342096815	56.94969887904897
UQCRC1	93.26176869307488	102.13424570437154	102.22827141887859	101.23766388152934	107.29126213492619	106.96133324081937	89.20658504854894	99.21105116991042	99.37267896680166	97.28357828977632
DYNLL2	28.812819910053744	28.441722620621217	28.651684313022933	30.475862592473355	30.348255000595273	29.82921814138418	14.698787704301113	13.668420005072447	19.285453460983426	18.588871223451317
KHK	4.55004290966328	4.431052555195308	4.566950020823074	4.8314305629061165	4.845905200405886	5.294189680500832	2.385565409051984	2.6480588160299106	3.878169282977577	3.843684230128818
ZNF227	7.7463744045393605	6.685399067944861	6.923752250606482	6.903856324532868	7.146125082598829	6.522924845686362	6.6967937843097936	6.375870009785894	6.7577926864247075	6.35220026304169
TBC1D17	6.263381026296749	6.6039274085156485	6.543358445484796	7.2929126425437	6.7800368642606745	6.527603547133749	11.371780075864518	12.802747645989454	8.388562728518693	7.451706107753793
LINC01341	1.069877771442779	1.2124367801188136	1.2546265774339194	1.4304755951547268	1.1616666557974693	1.3259567065679656	0.7934640540731623	0.8200916858496008	1.1786714257257183	1.059158876277025
RBM7	3.4540085540047074	3.25660948798224	3.2250899099033696	3.0154036441973213	2.7325562739107014	3.1586716576489082	3.2890055330970216	2.9888148610562446	3.1683304686306895	3.2964571120187824
AC090114.2	1.0498197530324054	0.9443339426283327	0.9654257247393413	1.1603296058482622	1.126277949810241	1.2315478550917447	1.5979002581785247	1.521824387638146	1.5777288176410638	1.4582325009572066
FANCA	20.24366894440523	22.479654365964592	22.06976056410699	24.602495908794847	22.997139323864786	24.449947537766086	16.142889375971237	17.140601254084203	23.372781698262497	22.724219502589442
HADHB	28.526414698604526	27.78661017742264	28.35236298638672	27.49778949352646	27.15202873249967	27.000737380860084	35.535182232455895	33.73718002105393	29.96411018351193	30.47402517230587
KIF5A	1.5862209037588249	1.5294546440098828	1.53737072485098	1.8271482167726913	1.8631325513238746	1.8546557426857273	1.3942688930181375	1.5524307384682323	1.672277583857587	1.6377597221479996
MYO9B	17.71252532828309	19.195768891416805	19.061666839651608	21.096180076085968	20.745666071989305	21.402901051962502	23.465638749980027	26.370989016453922	19.408283339742653	19.786894594624048
RNU6-118P	1.5783095775555387	1.540263510752002	2.358574962970137	1.897039132168368	1.472707240106545	1.8677628504078878	2.649110896734461	2.3541555329823427	2.8393138551454347	2.761124489311487
CALM3	138.0592786740157	142.57979953755964	145.05125693915687	146.41783828362583	156.69505527487686	149.28145061962084	145.49832471218005	153.74226276005092	137.84430262660797	133.5318181595365
ZMYM2	21.846059281336597	20.79509765866278	20.630273772256484	21.263911632475235	19.732640676049805	20.87785314185937	26.650055621148677	23.063800236365246	27.338536262400336	26.990649293612474
WDR82	75.70359729243395	78.0675788668391	79.1608419773554	75.65758069868548	76.13847714979329	76.83346163649988	54.86858822078829	54.20479788012518	60.04936774821085	61.08847969234076
