term	gene
H_Undefined_RenalClearCellCarcinoma_ImmuneCell_25170899	FCGR2C
H_Undefined_RenalClearCellCarcinoma_ImmuneCell_25170899	SLAMF6
H_Undefined_RenalClearCellCarcinoma_ImmuneCell_25170899	CD4
H_Undefined_RenalClearCellCarcinoma_ImmuneCell_25170899	SPN
H_Undefined_RenalClearCellCarcinoma_ImmuneCell_25170899	PTPRC
H_Undefined_RenalClearCellCarcinoma_ImmuneCell_25170899	NA
H_Undefined_RenalClearCellCarcinoma_ImmuneCell_25170899	PTPRC
H_Undefined_RenalClearCellCarcinoma_ImmuneCell_25170899	CD48
H_Undefined_RenalClearCellCarcinoma_ImmuneCell_25170899	CD5
H_Undefined_RenalClearCellCarcinoma_ImmuneCell_25170899	ICAM3
H_Undefined_RenalClearCellCarcinoma_ImmuneCell_25170899	CD52
H_Undefined_RenalClearCellCarcinoma_ImmuneCell_25170899	CD53
H_Undefined_RenalClearCellCarcinoma_ImmuneCell_25170899	CD6
H_Undefined_RenalClearCellCarcinoma_ImmuneCell_25170899	CD6
H_Undefined_RenalClearCellCarcinoma_ImmuneCell_25170899	CD69
H_Undefined_RenalClearCellCarcinoma_ImmuneCell_25170899	CD7
H_Undefined_RenalClearCellCarcinoma_ImmuneCell_25170899	LILRB3
H_Undefined_RenalClearCellCarcinoma_ImmuneCell_25170899	CD86
H_Undefined_RenalClearCellCarcinoma_ImmuneCell_25170899	CD96
H_Undefined_RenalClearCellCarcinoma_ImmuneCell_25170899	CCR8
H_Undefined_RenalClearCellCarcinoma_ImmuneCell_25170899	HLA-DR family
H_Undefined_RenalClearCellCarcinoma_EndothelialCell_25170899	IL3RA
H_Undefined_RenalClearCellCarcinoma_EndothelialCell_25170899	CDH5
H_Undefined_RenalClearCellCarcinoma_EndothelialCell_25170899	A4GALT
H_Undefined_RenalClearCellCarcinoma_EndothelialCell_25170899	TEK
H_Undefined_RenalClearCellCarcinoma_EndothelialCell_25170899	INSR
H_Undefined_RenalClearCellCarcinoma_EndothelialCell_25170899	TSPAN7
H_Undefined_RenalClearCellCarcinoma_EndothelialCell_25170899	TNFRSF17
H_Undefined_RenalClearCellCarcinoma_EndothelialCell_25170899	BMPR1A
H_Undefined_RenalClearCellCarcinoma_EndothelialCell_25170899	KDR
H_Undefined_RenalClearCellCarcinoma_EndothelialCell_25170899	FGFR2
H_Undefined_RenalClearCellCarcinoma_EndothelialCell_25170899	CEA family
H_Undefined_RenalClearCellCarcinoma_EndothelialCell_25170899	CEACAM3
H_Undefined_RenalClearCellCarcinoma_EndothelialCell_25170899	NT5E
H_Undefined_RenalClearCellCarcinoma_EndothelialCell_25170899	PROCR
H_Undefined_RenalClearCellCarcinoma_EndothelialCell_25170899	NA
H_Undefined_RenalClearCellCarcinoma_Fibroblast_25170899	NECTIN1
H_Undefined_RenalClearCellCarcinoma_Fibroblast_25170899	PDGFRB
H_Undefined_RenalClearCellCarcinoma_Fibroblast_25170899	ADAM17
H_Undefined_RenalClearCellCarcinoma_Fibroblast_25170899	NGFR
